value,group,country
Australia,Australia_NZ,Australia
New_Zealand,Australia_NZ,New Zealand
Norfolk_Island,Australia_NZ,Australia
Heard_and_McDonald_Islands,Antarctica,Australia
Antarctica,Antarctica,Antarctica
Macquarie_Island,Australia_NZ,Australia
Christmas_Island,Australia_NZ,Australia
Cocos_Islands,Australia_NZ,Australia
Cuba,Caribbean,Cuba
Bahamas,Caribbean,Bahamas
Serrana_Bank,Caribbean,Colombia
Quitasueño_Bank,Caribbean,Colombia
Serranilla_Bank,Caribbean,Colombia
Saint_Kitts_and_Nevis,Caribbean,Saint Kitts and Nevis
Jamaica,Caribbean,Jamaica
Curaçao,Caribbean,Curacao
Bonaire,Caribbean,Netherlands
Bajo_Nuevo_Bank,Caribbean,Disputed
Saint_Vincent_and_the_Grenadines,Caribbean,Saint Vincent and the Grenadines
Martinique,Caribbean,France
Haiti,Caribbean,Haiti
Trinidad_and_Tobago,Caribbean,Trinidad and Tobago
Sint-Maarten,Caribbean,Sint Maarten
Saint_Lucia,Caribbean,Saint Lucia
Sint-Eustatius,Caribbean,Netherlands
Saint-Barthélemy,Caribbean,France
Puerto_Rico,Caribbean,United States
Montserrat,Caribbean,United Kingdom
Guadeloupe,Caribbean,France
Grenada,Caribbean,Grenada
Dominican_Republic,Caribbean,Dominican Republic
Antigua_and_Barbuda,Caribbean,Antigua and Barbuda
Dominica,Caribbean,Dominica
Barbados,Caribbean,Barbados
Aruba,Caribbean,Aruba
Honduras,Central_America,Honduras
Nicaragua,Central_America,Nicaragua
Belize,Central_America,Belize
Guatemala,Central_America,Guatemala
Mexico,Central_America,Mexico
Costa_Rica,Central_America,CostaRica
Panama,Central_America,Panama
El_Salvador,Central_America,El Salvador
Bassas_da_India,Eastern_Africa,France
Juan_de_Nova_Island,Eastern_Africa,France
Europa_Island,Eastern_Africa,France
Tanzania,Eastern_Africa,Tanzania
Kenya,Eastern_Africa,Kenya
Mozambique,Eastern_Africa,Mozambique
