metasite_id,species_code,common_name,latitude,longitude,radius,n_ndvdl,activity,life_stage,sex,years
METASITE_ACSO_AA,ACSO,Wahoo,33.5202,-66.8742,10,178,Observation,"{""UNK"": 178}","{""U"": 178}",2006
METASITE_ACSO_AB,ACSO,Wahoo,14,-65,5,250,Observation,"{""UNK"": 250}","{""U"": 250}",NULL
METASITE_ACSO_AC,ACSO,Wahoo,26.5,-79.3,1,4,Observation,"{""UNK"": 4}","{""U"": 4}",2006
METASITE_ACSO_AD,ACSO,Wahoo,31.78,-78.7,1,2,Observation,"{""UNK"": 2}","{""U"": 2}",2006
METASITE_ACSO_AE,ACSO,Wahoo,25,-115.75,1,42,Observation,"{""UNK"": 42}","{""U"": 42}",2005
METASITE_ACSO_AF,ACSO,Wahoo,25.92,-113.35,1,27,Feeding,"{""UNK"": 27}","{""U"": 27}",2005;2006
METASITE_ACSO_AG,ACSO,Wahoo,16.85,-117.48,1,39,Feeding,"{""UNK"": 39}","{""U"": 39}",2008;2009
METASITE_ALSU_AA,ALSU,Bigeye Thresher Shark,-34.717,152.017,1,1,Feeding,"{""J"": 1}","{""F"": 1}",2007
METASITE_ALSU_AB,ALSU,Bigeye Thresher Shark,-6.5,-103.53,1,1,Feeding,"{""J"": 1}","{""F"": 1}",1996
METASITE_ALSU_AC,ALSU,Bigeye Thresher Shark,-9.42,-112.77,1,1,Feeding,"{""J"": 1}","{""F"": 1}",1996
METASITE_ALSU_AD,ALSU,Bigeye Thresher Shark,10,-28,10,12,Feeding;Observation,"{""A"": 2, ""J"": 10}","{""M"": 4, ""F"": 8}",2012;2013
METASITE_ALVU_AA,ALVU,Common Thresher Shark,32.536,-118.3721667,5,943,Feeding;Observation,"{""J"": 943}","{""M"": 9, ""U"": 920, ""F"": 14}",1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
METASITE_ALVU_AB,ALVU,Common Thresher Shark,-24.4225,158.7625,5,2,Feeding,"{""UNK"": 2}","{""U"": 2}",2005
METASITE_ALVU_AC,ALVU,Common Thresher Shark,-32.533,157.294,5,1,Feeding,"{""UNK"": 1}","{""U"": 1}",2005
METASITE_ANAN_AA,ANAN,European Eel,40.55075,1.11675,5,37,Observation,"{""A"": 22, ""UNK"": 15}","{""U"": 15, ""F"": 22}",1999;2013
METASITE_ANAN_AB,ANAN,European Eel,36.29,-3.5,5,3,Observation,"{""A"": 3}","{""F"": 3}",2013
METASITE_ANAN_AC,ANAN,European Eel,49.958,5.836,1,76,Feeding;Observation,"{""A"": 60, ""UNK"": 16}","{""U"": 76}",1996;1999;2013;2014
METASITE_ANAN_AD,ANAN,European Eel,51.2045,3.3475,1,73,Migrating;Observation,"{""A"": 73}","{""U"": 73}",2012;2014;2015
METASITE_ANAN_AE,ANAN,European Eel,52.237,7.955,1,185,Observation,"{""A"": 185}","{""U"": 185}",2015
METASITE_ANAN_AF,ANAN,European Eel,53.33,6.914,1,40,Observation,"{""A"": 40}","{""U"": 40}",2014
METASITE_ARAU_AA,ARAU,South American Fur Seal,-52.0755,-61.0385,1,28,Breeding;Feeding,"{""A"": 26, ""SUB"": 2}","{""M"": 2, ""F"": 26}",1999;2000
METASITE_ARAU_AB,ARAU,South American Fur Seal,-36.06,137.16,1,24,Breeding;Feeding,"{""A"": 24}","{""F"": 24}",2005
METASITE_ARAU_AC,ARAU,South American Fur Seal,-35.1,135.835,1,7,Breeding;Feeding,"{""A"": 7}","{""F"": 7}",2006
METASITE_ARAU_AD,ARAU,South American Fur Seal,-35.3,-56.5,1,11,Breeding;Feeding,"{""A"": 11}","{""F"": 11}",2011
METASITE_BABR_AA,BABR,Sei Whale,38.29,-28.345,1,17,Migrating,"{""UNK"": 17}","{""U"": 17}",2005;2008;2009
METASITE_BABR_AB,BABR,Sei Whale,57.34,-48.83666667,5,8,Feeding,"{""UNK"": 8}","{""U"": 8}",2005;2008;2009
METASITE_BABR_AC,BABR,Sei Whale,52,-33,5,1,Feeding,"{""UNK"": 1}","{""U"": 1}",2005
METASITE_BABR_AD,BABR,Sei Whale,31.68,-18.53,5,1,Observation,"{""UNK"": 1}","{""U"": 1}",2009
METASITE_BABR_AE,BABR,Sei Whale,51,-44,5,5,Feeding;Migrating,"{""UNK"": 5}","{""U"": 5}",2008;2009
METASITE_BAED_AA,BAED,Bryde's Whale,37.61,155.173,1,1,Feeding,"{""UNK"": 1}","{""U"": 1}",2006
