"metasite_id","species_code","common_name","latitude","longitude","radius","n_ndvdl","activity","life_stage","sex","years"
"METASITE_ACSO_AA","ACSO","Wahoo",33.520200000000003,-66.874200000000002,10.000,178.000000000000000,"Observation","{""UNK"": 178}","{""U"": 178}","2006"
"METASITE_ACSO_AB","ACSO","Wahoo",14.000000000000000,-65.000000000000000,5.000,250.000000000000000,"Observation","{""UNK"": 250}","{""U"": 250}","NULL"
"METASITE_ACSO_AC","ACSO","Wahoo",26.500000000000000,-79.299999999999997,1.000,4.000000000000000,"Observation","{""UNK"": 4}","{""U"": 4}","2006"
"METASITE_ACSO_AD","ACSO","Wahoo",31.780000000000001,-78.700000000000003,1.000,2.000000000000000,"Observation","{""UNK"": 2}","{""U"": 2}","2006"
"METASITE_ACSO_AE","ACSO","Wahoo",25.000000000000000,-115.750000000000000,1.000,42.000000000000000,"Observation","{""UNK"": 42}","{""U"": 42}","2005"
"METASITE_ACSO_AF","ACSO","Wahoo",25.920000000000002,-113.349999999999990,1.000,27.000000000000000,"Feeding","{""UNK"": 27}","{""U"": 27}","2005;2006"
"METASITE_ACSO_AG","ACSO","Wahoo",16.850000000000001,-117.480000000000000,1.000,39.000000000000000,"Feeding","{""UNK"": 39}","{""U"": 39}","2008;2009"
"METASITE_ALSU_AA","ALSU","Bigeye Thresher Shark",-34.717000000000000,152.017000000000000,1.000,1.000000000000000,"Feeding","{""J"": 1}","{""F"": 1}","2007"
"METASITE_ALSU_AB","ALSU","Bigeye Thresher Shark",-6.500000000000000,-103.530000000000000,1.000,1.000000000000000,"Feeding","{""J"": 1}","{""F"": 1}","1996"
"METASITE_ALSU_AC","ALSU","Bigeye Thresher Shark",-9.420000000000000,-112.770000000000000,1.000,1.000000000000000,"Feeding","{""J"": 1}","{""F"": 1}","1996"
"METASITE_ALSU_AD","ALSU","Bigeye Thresher Shark",10.000000000000000,-28.000000000000000,10.000,12.000000000000000,"Feeding;Observation","{""A"": 2, ""J"": 10}","{""M"": 4, ""F"": 8}","2012;2013"
