Species,Common Name,Review ID,Zotero ID,Ver.,Method,Site ID,Location,Ocean,Long,Lat,Radius,Sampling,#IDs,#routes,#conns,Years,Months start,Months end,Months sampled,Activities,Sex,Life stage
"ACSO","Wahoo","FU9MTDD3_Luckhurst_2007_Acso","FU9MTDD3",1000000,"MR","A","Southeast Caribbean","N-ATL","-65.000","14.000","5.0","UNK (mark-recapture)","250","","","","(UNK)","(UNK)","","OBS","{ ""U"" : 250 }","{ ""UNK"" : 250 }"
"ACSO","Wahoo","FU9MTDD3_Luckhurst_2007_Acso","FU9MTDD3",1000000,"MR","B","Northwest Atlantic","N-ATL","-66.000","34.000","10.0","UNK (mark-recapture)","159","","","","(UNK)","(UNK)","","OBS","{ ""U"" : 159 }","{ ""UNK"" : 159 }"
"ACSO","Wahoo","FU9MTDD3_Luckhurst_2007_Acso","FU9MTDD3",1000000,"MR","C","Bermuda","N-ATL","-64.000","32.000","1.0","UNK (mark-recapture)","15","",1,"","(UNK)","(UNK)","","OBS","{ ""U"" : 15 }","{ ""UNK"" : 15 }"
"ACSO","Wahoo","FU9MTDD3_Luckhurst_2007_Acso","FU9MTDD3",1000000,"MR","D","Challenger Bank, Near Bermuda","N-ATL","-65.051","32.061","1.0","UNK (mark-recapture)","1","",1,"","(UNK)","(UNK)","","OBS","{ ""U"" : 1 }","{ ""UNK"" : 1 }"
"ACSO","Wahoo","FU9MTDD3_Luckhurst_2007_Acso","FU9MTDD3",1000000,"T","E","Northwest Atlantic","N-ATL","-75.500","31.500","10.0","PSAT","3","","","","(UNK)","(UNK)","","OBS","{ ""U"" : 3 }","{ ""UNK"" : 3 }"
"ACSO","Wahoo","VADCVGV9_Theisen_and_Baldwin_2012_Acso","VADCVGV9",1000000,"T","A","Southeast Florida","N-ATL","-79.300","26.500","1.0","POP-UP SATELLITE ARCHIVAL TAG (PSAT)","4",2,"","2006","FEB; OCT","OCT; (UNK)","","OBS","{ ""U"" : 4 }","{ ""UNK"" : 4 }"
"ACSO","Wahoo","VADCVGV9_Theisen_and_Baldwin_2012_Acso","VADCVGV9",1000000,"T","B","South Carolina waters","N-ATL","-78.700","31.780","1.0","POP-UP SATELLITE ARCHIVAL TAG (PSAT)","2",1,"","2006","OCT; (UNK)","FEB; NOV","","OBS","{ ""U"" : 2 }","{ ""UNK"" : 2 }"
"ACSO","Wahoo","VADCVGV9_Theisen_and_Baldwin_2012_Acso","VADCVGV9",1000000,"T","C","North Atlantic Ocean","N-ATL","-63.820","38.040","1.0","POP-UP SATELLITE ARCHIVAL TAG (PSAT)","1",1,"","2006","(UNK)","NOV","","OBS","{ ""U"" : 1 }","{ ""UNK"" : 1 }"
"ACSO","Wahoo","VTAKIHF8_Sepulveda_etal_2011_Acso","VTAKIHF8",1000000,"MR","A","Alijos Rocks","N-PAC","-115.750","25.000","1.0","Datalogger","42","","","2005","OCT; (UNK)","OCT; (UNK)","","OBS","{ ""U"" : 42 }","{ ""UNK"" : 42 }"
"ACSO","Wahoo","VTAKIHF8_Sepulveda_etal_2011_Acso","VTAKIHF8",1000000,"MR","B","Magdalena Bay Ridge","N-PAC","-113.350","25.920","1.0","Datalogger","27","","","2005; 2006","OCT; (UNK)","OCT; (UNK)","","FEE","{ ""U"" : 27 }","{ ""UNK"" : 27 }"
"ACSO","Wahoo","VTAKIHF8_Sepulveda_etal_2011_Acso","VTAKIHF8",1000000,"MR","C","Hurricane Bank, North Pacific","N-PAC","-117.480","16.850","1.0","Datalogger","39","","","2008; 2009","JAN; NOV; (UNK)","JAN; FEB; DEC; (UNK)","","FEE","{ ""U"" : 39 }","{ ""UNK"" : 39 }"
"ALSU","Bigeye Thresher Shark","H63PTXJ8_Stevens_etal_2010_ALSU","H63PTXJ8",1000000,"T","A","Southeast of Sydney","S-PAC","152.017","-34.717","1.0","PSAT","1","","","2007","SEP","MAR","","FEE","{ ""F"" : 1 }","{ ""J"" : 1 }"
"ALSU","Bigeye Thresher Shark","HGGHU4Z9_Nakano_etal_2003_Alsu","HGGHU4Z9",1000000,"T","A","East central Pacific","N-PAC;S-PAC","-103.530","-6.500","1.0","ACOUSTIC/SONIC TAG (TELEMETRY)","1","","","1996","JUL","JUL","","FEE","{ ""F"" : 1 }","{ ""J"" : 1 }"
"ALSU","Bigeye Thresher Shark","HGGHU4Z9_Nakano_etal_2003_Alsu","HGGHU4Z9",1000000,"T","B","East central Pacific","N-PAC;S-PAC","-112.770","-9.420","1.0","ACOUSTIC/SONIC TAG (TELEMETRY)","1","","","1996","JUL","JUL","","FEE","{ ""F"" : 1 }","{ ""J"" : 1 }"
"ALSU","Bigeye Thresher Shark","T8QBS9B7_Coelho_etal_2015_ALSU","T8QBS9B7",1000000,"T","A","Atlantic Southwest of Cape Verde","N-ATL","-28.000","10.000","10.0","PSAT","12","","","2012; 2013","AUG; SEP; DEC","JAN; FEB; APR; JUN; SEP; OCT","","FEE; OBS","{ ""F"" : 8, ""M"" : 4 }","{ ""J"" : 10, ""A"" : 2 }"
"ALVU","Common Thresher Shark","59WX422J_Cartamil_etal_2016_Alvu","59WX422J",1000000,"MR","A","Southern California Bight","N-PAC","-119.000","33.000","5.0","ACOUSTIC/SONIC TAG (MARK-RECAP)","943",1,1,"1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012","SEP; OCT; (UNK)","(UNK)","","OBS","{ ""M"" : 9, ""F"" : 14, ""U"" : 920 }","{ ""J"" : 943 }"
"ALVU","Common Thresher Shark","59WX422J_Cartamil_etal_2016_Alvu","59WX422J",1000000,"O","A","Southern California Bight","N-PAC","-119.000","33.000","5.0","SIGHTINGS (NO TAG/SAMPLE)","943",1,1,"1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012","SEP; OCT; (UNK)","(UNK)","","OBS","{ ""M"" : 9, ""F"" : 14, ""U"" : 920 }","{ ""J"" : 943 }"
"ALVU","Common Thresher Shark","59WX422J_Cartamil_etal_2016_Alvu","59WX422J",1000000,"T","A","Southern California Bight","N-PAC","-119.000","33.000","5.0","POP-UP SATELLITE ARCHIVAL (PSAT)","943",1,1,"1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012","SEP; OCT; (UNK)","(UNK)","","OBS","{ ""M"" : 9, ""F"" : 14, ""U"" : 920 }","{ ""J"" : 943 }"
